TrafficType,Status,RequiredAirtime,TotalAirtime
VoIP,ADMITTED,0.0117,0.0117
VoIP,ADMITTED,0.0117,0.0234
VoIP,ADMITTED,0.0117,0.0351
VoIP,ADMITTED,0.0117,0.0468
VoIP,ADMITTED,0.0117,0.0585
VoIP,ADMITTED,0.0117,0.0702
VoIP,ADMITTED,0.0117,0.0819
VoIP,ADMITTED,0.0117,0.0936
VoIP,ADMITTED,0.0117,0.1053
VoIP,ADMITTED,0.0117,0.117
VoIP,ADMITTED,0.0117,0.1287
VoIP,ADMITTED,0.0117,0.1404
Video,ADMITTED,0.203125,0.343525
Video,ADMITTED,0.203125,0.54665
Video,ADMITTED,0.203125,0.749775
Video,BLOCKED,0.203125,0.749775
Video,BLOCKED,0.203125,0.749775
Video,BLOCKED,0.203125,0.749775
Video,BLOCKED,0.203125,0.749775
Video,BLOCKED,0.203125,0.749775
Video,BLOCKED,0.203125,0.749775
Bursty,BLOCKED,0.162946,0.749775
Bursty,BLOCKED,0.162946,0.749775
Bursty,BLOCKED,0.162946,0.749775
Bursty,BLOCKED,0.162946,0.749775
Bursty,BLOCKED,0.162946,0.749775
Bursty,BLOCKED,0.162946,0.749775
Bursty,BLOCKED,0.162946,0.749775
Bursty,BLOCKED,0.162946,0.749775
Bursty,BLOCKED,0.162946,0.749775
